Year/Season,Pounds,Permits,Landings,Crab,Pounds per Permit,Pots Lifted,CPUE,Average Weight,Price per Pound,Value
1984 - 1985,42400,36,89,18221,1177.77777777778,5693,3,2.32698534657812,0.830330188679245,35206
1985 - 1986,2317135,216,2078,1059790,10727.4768518519,159310,6,2.1864095717076,1.22229908917694,2832232
1986 - 1987,2453055,224,2330,1184771,10951.1383928571,232328,5,2.07048872735744,1.02123780347363,2505152.5
1987 - 1988,3391699,241,2810,1611101,14073.4398340249,279244,5,2.10520569473919,1.08329011507212,3674194
1988 - 1989,3321734,264,2683,1517105,12582.3257575758,248755,6,2.18952148994302,0.914712616964513,3038432
1989 - 1990,1918880,245,2111,875861,7832.16326530612,194239,4,2.19084991796644,1.05624006191111,2026797.93
1990 - 1991,2662151,243,2339,1293500,10955.353909465,329916,3,2.05809895632006,1.4369634592478,3825413.71
1991 - 1992,4703895,317,3385,2259424,14838.785488959,462125,4,2.08190007718781,1.20889541539511,5686517.1
1992 - 1993,3098630,245,2499,1425996,12647.4693877551,313822,4,2.1729584094205,0.838836840797385,2599245
1993 - 1994,2535711,198,1956,1167087,12806.6212121212,271414,4,2.17268378449936,0.915429636894741,2321265
1994 - 1995,1921459,184,1787,927731,10442.7119565217,230560,4,2.07113807774021,1.09890505079734,2111501
1995 - 1996,4404519,200,2737,2176200,22022.595,460378,4,2.02394954507858,1.62402670984051,7153056.5
1996 - 1997,5005724,203,2896,2406434,24658.7389162562,399472,6,2.08014181980474,0.960216344329012,4806578
1997 - 1998,4061852,232,4043,1921220,17507.9827586207,616458,3,2.11420451588053,2.17873940261733,8849717
1998 - 1999,2329499,244,3136,1132885,9547.12704918033,481214,2,2.0562537238996,1.46967146154602,3423598.2
1999 - 2000,3280503,197,2862,1611136,16652.2994923858,474986,3,2.03614282096608,1.6362997168422,5367886.13
2000 - 2001,2566989,199,2385,1255363,12899.4422110553,400846,3,2.04481811237068,1.4955327272536,3839016.06
2001 - 2002,4104126.16,209,3059,2099643,19636.9672727273,539636,3,1.95467808575077,1.72620212045333,7084551.28
2002 - 2003,7333759.5,220,3562,3512792,33335.2704545455,786011,4,2.08772950405262,1.07305861611633,7869553.82
2003 - 2004,4537047.35,209,2931,2184724,21708.3605263158,609085,3,2.07671419822367,1.32111375694591,5993955.67
2004 - 2005,4589630.5,199,2414,2239892,23063.4698492462,564714,3,2.04904098054728,1.36367968837579,6258785.89
2005 - 2006,4205477.3,189,2203,2039101,22251.2026455026,468400,4,2.06241735941476,1.20868286698397,5083088.36
2006 - 2007,4503969.32,171,2074,2228852,26339.001871345,468426,4,2.02075746617541,1.38012688105966,6216049.13
2007 - 2008,5408353,193,2841,2657986,28022.5544041451,647401,4,2.03475601451625,2.09326812062748,11321132.92
2008 - 2009,4731665.8,207,2816,2351764,22858.2888888889,647204,3,2.0119645508648,2.17291038813434,10281485.77
2009 - 2010,3569695.7,195,2441,1770701,18306.1317948718,535292,3,2.01597881291082,1.67324665517008,5972981.39
2010 - 2011,3245263.9,176,2208,1588622,18438.9994318182,445348,3,2.0428169193175,1.70260546145415,5525404.04
2011 - 2012,2594896.6,162,2014,1252387,16017.8802469136,377162,3,2.07196066391619,2.22422406734819,5771631.47
2012 - 2013,2359308.5,160,2199,1144095,14745.678125,398172,2,2.06216135897806,2.49604985528599,5888951.64
2013 - 2014,2589871.16,150,2226,1288148,17265.8077333333,393227,3,2.01053850955014,2.48528634914796,6436571.44
2014 - 2015,5063854,192,3306,2504931,26374.2395833333,623948,4,2.02155428632565,2.98530705861583,15117159.09
2015 - 2016,3259362,205,3006,1545614,15899.3268292683,545458,2,2.10878136455803,2.98552937353998,9730920.99
2016 - 2017,2358645,208,2545,1135953,11339.6394230769,464519,2,2.07635791269533,3.03936573329178,7168784.79
2017 - 2018,1913741,193,1842,937348,9915.75647668394,343603,2,2.04165475362405,3.02469570333708,5788484.18
2018 - 2019,4088941,184,2783,2070584,22222.5054347826,557368,3,1.97477668136139,2.987763824423,12216790
2019 - 2020,5332534.35,199,3424,2650575,26796.6550251256,647843,4,2.01184058176056,2.96713074150193,15822326.6
2020 - 2021,6706685,199,3304,3283021,33701.9346733668,607086,5,2.0428395066617,1.72363559791462,11559881.01
2021 - 2022,3728824,212,3339,1775809,17588.7924528302,559151,3,2.09978888495328,4.21186755127086,15705312.81
2022 - 2023,2018862.3,196,1788,988513,10300.3178571429,305200,3,2.04232245807592,2.68521094281665,5421071.14
2023 - 2024,3249829,157,1953,1559268,20699.5477707006,345600,4,2.08420168951072,2.12120146936962,6893542.05
2024 - 2025,2229879.91,172,1878,1063077,12964.4180813953,334393,3,2.09757139887327,3.13235792594768,6984782.01
2025 - 2026,1218511,162,1020,582239,7521.67283950617,174590,3,2.09280209673347,4.05336983416645,4939075.73